Sort,Latitude,Longitude,Sample Sites,Year,,High_Low,DateNote,Slope,WShedArea,DistanceUS,DATE,TIME,D'/W',Depth(ft),Width(ft),XC_Area,W/D,TEMP.,pH,COND.,DO,VEL.,TURB.,TSS,NH3,Hardness,Ca,Mg,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Na,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,43.27814444,101.8248556,Bear in the Lodge I,1994,,H,,,,,6/16/94,3:10pm,"2'/19'4""",2.0,19.3,38.6,9.65,18.3,8.36,148,8.06,0.74,31.3,,,,,,308,17,0.51,35,0,0,0.230,0.282,0.008,0.12,0.005,,0,2.78,0,0.18,0,,,,77,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,43.27814444,101.8248556,Bear in the Lodge I,1994,,L,,,,,,,,,,,,,,,,,,,,,,,218,12,0.39,44,0.28,0,0.465,0.528,0.044,0.12,0.021,0.007,,0.011,0.35,0.0008,,,,,87,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,43.27814444,101.8248556,Bear in the Lodge I,1995,,H,e,,,,6/6/95,,,,,,,,,,,,,,,,,,282,136,0.48,1120,0.95,0.01,0.000,0.015,0.000,0.05,0,0,,0.65,0.04,0.002,,,,,214,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,43.27814444,101.8248556,Bear in the Lodge I,1995,,L,,,,,10/16/95,12:15pm,1'/12',1.0,12,12,12,9.89,8.39,608,8.02,1.06,6.5,,,,,,252,8,0.45,29,0,0,0.209,0.21,0.010,0.06,0,,0,1.54,0,0.06,0.0004,,,,60,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,43.27814444,101.8248556,Bear in the Lodge I,1996,,H,,,,,6/12/96,1:40pm,"2'10""/16'1""",2.8,16.1,45.61666667,5.682352941,23.47,9.85,668,11.7,3.4,148.4,,,,,,290,7,0.5,24,0.3,0,0.330,0.35,0.013,0.182,0.01,,0.006,7.7,0.005,0.25,0,,,,77,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,43.27814444,101.8248556,Bear in the Lodge I,1996,,L,,,,,10/2/96,1:10pm,"11""/11'7""",0.9,11.6,10.63333333,12.65454545,11.42,,622,13.3,2.2,63.6,,,,,,260,6,0.4,36,0,0,0.170,0.19,0.010,0.112,0,,0.006,1.35,0.005,0.08,0,,,,70,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,43.27814444,101.8248556,Bear in the Lodge I,1997,,H,,,,,8/26/97,12:45pm,"1'9""/14'",1.9,14,26.83333333,7.304347826,22.58,8.95,625,2.8,1.5,82.8,,,,,,304,9,0.42,35,0,0,0.160,0.22,0.010,0.04,0,0,0,0.93,0.003,0.05,0,0,,0,88,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,43.27814444,101.8248556,Bear in the Lodge I,2000,,L,,,,,,,,,,,,,,,,,,,,,,,186,3,0.3,30,0.31,0.07,0.430,0.5,0.005,0,0,0,0.01,5.7,0,0.12,0,0,0,0,43,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,43.67711111,101.845075,Bear in the Lodge II,1993,,H,,,,,6/15/93,8:27am,"1'4""/11'11""",1.3,11.9,15.86666667,8.925,26.1,8.48,580,7.7,1.26,171.4,,,,,,264,5,0.54,32,0.27,0.00,0.325,0.483,0.013,0.12,0,0.015,0.01,6.4,0.006,0.26,0.0022,0.006,0,0,77,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,43.67711111,101.845075,Bear in the Lodge II,1993,,L,,,,,12/3/93,10:30am,"1'4""/19'6""",1.3,19.5,26,14.625,,7.59,,13.16,,,,,,,,258,5,0.42,19,0.65,0.00,0.088,0.564,0.081,0.07,0,0.027,0.013,16.5,0.010,0.23,0,0.013,0,0.0051,67,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
